gene_id geneT_id effector.prob eff.start eff.end chr.num start end strand
Ety_000009 Ety_000009-T1 0.66 24 216 Ety_1756_1 19444 20094 -
Ety_000017 Ety_000017-T1 0.882 23 222 Ety_1756_1 36793 37461 -
Ety_000051 Ety_000051-T1 0.572 19 56 Ety_1756_1 132537 132766 -
Ety_000052 Ety_000052-T1 0.732 22 346 Ety_1756_1 135839 137009 +
Ety_000070 Ety_000070-T1 0.872 17 95 Ety_1756_1 270516 270869 -
Ety_000078 Ety_000078-T1 0.933 17 241 Ety_1756_1 306235 306960 -
Ety_000261 Ety_000261-T1 0.759 17 192 Ety_1756_1 960797 961576 +
Ety_000293 Ety_000293-T1 0.669 18 163 Ety_1756_1 1065358 1065981 +
Ety_000306 Ety_000306-T1 0.806 25 257 Ety_1756_1 1097129 1097979 +
Ety_000344 Ety_000344-T1 0.75 19 166 Ety_1756_1 1220743 1221244 -
Ety_000360 Ety_000360-T1 0.572 18 190 Ety_1756_1 1279019 1279591 -
Ety_000564 Ety_000564-T1 0.684 19 154 Ety_1756_1 1934557 1935080 +
Ety_000652 Ety_000652-T1 0.732 20 170 Ety_1756_1 2531247 2531884 -
Ety_000923 Ety_000923-T1 0.553 21 316 Ety_1756_1 3433361 3434577 +
Ety_001030 Ety_001030-T1 0.809 21 123 Ety_1756_1 3949619 3949990 +
Ety_001080 Ety_001080-T1 0.56 19 60 Ety_1756_1 4074165 4074711 -
Ety_001109 Ety_001109-T1 0.702 21 266 Ety_1756_1 4177008 4177894 +
Ety_001303 Ety_001303-T1 0.951 18 125 Ety_1756_1 4802846 4803295 +
Ety_001384 Ety_001384-T1 0.903 20 115 Ety_1756_1 5207274 5207693 -
Ety_001457 Ety_001457-T1 0.681 25 277 Ety_1756_1 5578114 5579034 +
Ety_001517 Ety_001517-T1 0.862 22 162 Ety_1756_2 121193 121753 -
Ety_001563 Ety_001563-T1 0.834 22 191 Ety_1756_2 279687 280380 -
Ety_001581 Ety_001581-T1 0.84 22 202 Ety_1756_2 338763 339371 +
Ety_001597 Ety_001597-T1 0.951 19 110 Ety_1756_2 374176 374664 +
Ety_001610 Ety_001610-T1 0.859 17 114 Ety_1756_2 423251 423801 -
Ety_001611 Ety_001611-T1 0.682 16 68 Ety_1756_2 425097 425371 -
Ety_001624 Ety_001624-T1 0.811 17 81 Ety_1756_2 459892 460219 +
Ety_001675 Ety_001675-T1 0.606 21 223 Ety_1756_2 639259 640010 -
Ety_001716 Ety_001716-T1 0.701 23 275 Ety_1756_2 754837 755729 -
Ety_001723 Ety_001723-T1 0.583 20 89 Ety_1756_2 787504 787822 +
Ety_001749 Ety_001749-T1 0.79 18 203 Ety_1756_2 874242 874853 -
Ety_002096 Ety_002096-T1 0.582 18 243 Ety_1756_2 2080104 2080902 +
Ety_002165 Ety_002165-T1 0.714 18 129 Ety_1756_2 2264627 2265243 -
Ety_002176 Ety_002176-T1 0.822 19 147 Ety_1756_2 2289116 2289651 -
Ety_002230 Ety_002230-T1 0.872 18 165 Ety_1756_2 2484663 2485247 -
Ety_002264 Ety_002264-T1 0.943 19 53 Ety_1756_2 2695740 2695969 +
Ety_002303 Ety_002303-T1 0.78 19 129 Ety_1756_2 2886779 2887276 +
Ety_002389 Ety_002389-T1 0.639 22 107 Ety_1756_2 3221590 3222242 -
Ety_002409 Ety_002409-T1 0.603 24 201 Ety_1756_2 3278189 3278925 -
Ety_002449 Ety_002449-T1 0.929 20 174 Ety_1756_2 3531146 3531749 -
Ety_002474 Ety_002474-T1 0.721 21 127 Ety_1756_2 3587235 3587618 -
Ety_002479 Ety_002479-T1 0.804 18 199 Ety_1756_2 3595182 3595893 +
Ety_002709 Ety_002709-T1 0.719 17 217 Ety_1756_2 4352965 4353618 -
Ety_002955 Ety_002955-T1 0.565 20 327 Ety_1756_3 233698 234681 -
Ety_002958 Ety_002958-T1 0.947 17 94 Ety_1756_3 242161 242445 +
Ety_003051 Ety_003051-T1 0.865 20 173 Ety_1756_3 644035 644746 +
Ety_003052 Ety_003052-T1 0.864 19 207 Ety_1756_3 648601 649224 +
Ety_003634 Ety_003634-T1 0.912 23 140 Ety_1756_3 2884650 2885072 +
Ety_003645 Ety_003645-T1 0.705 23 264 Ety_1756_3 2907719 2908513 -
Ety_003721 Ety_003721-T1 0.553 22 407 Ety_1756_3 3082790 3084241 -
Ety_004089 Ety_004089-T1 0.841 16 167 Ety_1756_3 4426616 4427195 +
Ety_004203 Ety_004203-T1 0.649 20 172 Ety_1756_3 5017474 5018093 -
Ety_004204 Ety_004204-T1 0.913 21 165 Ety_1756_3 5027479 5028128 +
Ety_004208 Ety_004208-T1 0.56 21 425 Ety_1756_3 5037831 5040602 -
Ety_004220 Ety_004220-T1 0.78 22 173 Ety_1756_3 5120566 5121179 +
Ety_004245 Ety_004245-T1 0.707 20 335 Ety_1756_4 204355 205505 +
Ety_004252 Ety_004252-T1 0.935 16 167 Ety_1756_4 214109 214676 +
Ety_004253 Ety_004253-T1 0.965 19 113 Ety_1756_4 216264 216661 +
Ety_004261 Ety_004261-T1 0.6 19 236 Ety_1756_4 245992 246900 +
Ety_004275 Ety_004275-T1 0.803 18 225 Ety_1756_4 446415 447092 -
Ety_004286 Ety_004286-T1 0.562 21 153 Ety_1756_4 479001 479572 -
Ety_004309 Ety_004309-T1 0.684 18 226 Ety_1756_4 573796 574819 -
Ety_004390 Ety_004390-T1 0.814 17 150 Ety_1756_4 923996 924448 -
Ety_004418 Ety_004418-T1 0.937 20 173 Ety_1756_4 1001562 1002179 -
Ety_004429 Ety_004429-T1 0.981 21 131 Ety_1756_4 1132321 1132716 +
Ety_004482 Ety_004482-T1 0.911 20 239 Ety_1756_4 1286731 1287450 +
Ety_004524 Ety_004524-T1 0.699 18 153 Ety_1756_4 1436416 1436997 +
Ety_004643 Ety_004643-T1 0.792 24 96 Ety_1756_4 1831987 1832390 +
Ety_004660 Ety_004660-T1 0.611 20 168 Ety_1756_4 1920718 1921224 -
Ety_004686 Ety_004686-T1 0.952 17 70 Ety_1756_4 2102092 2102387 +
Ety_004758 Ety_004758-T1 0.773 24 129 Ety_1756_4 2319600 2319989 +
Ety_004840 Ety_004840-T1 0.911 21 211 Ety_1756_4 2563253 2564065 -
Ety_004895 Ety_004895-T1 0.696 19 194 Ety_1756_4 2696445 2697108 +
Ety_004896 Ety_004896-T1 0.61 19 269 Ety_1756_4 2699448 2700402 -
Ety_004992 Ety_004992-T1 0.703 17 181 Ety_1756_4 3191845 3192492 -
Ety_005015 Ety_005015-T1 0.883 23 98 Ety_1756_4 3292839 3293282 +
Ety_005081 Ety_005081-T1 0.697 21 62 Ety_1756_4 3541295 3541565 -
Ety_005120 Ety_005120-T1 0.706 14 146 Ety_1756_4 3651489 3651997 +
Ety_005184 Ety_005184-T1 0.821 21 74 Ety_1756_4 3838311 3838653 -
Ety_005338 Ety_005338-T1 0.919 19 127 Ety_1756_4 4340038 4340421 +
Ety_005339 Ety_005339-T1 0.957 18 131 Ety_1756_4 4341577 4342050 +
Ety_005400 Ety_005400-T1 0.554 22 50 Ety_1756_4 4852235 4852442 +
Ety_005464 Ety_005464-T1 0.917 19 78 Ety_1756_4 5112224 5112519 -
Ety_005474 Ety_005474-T1 0.808 21 216 Ety_1756_4 5135937 5136740 -
Ety_005482 Ety_005482-T1 0.931 21 182 Ety_1756_4 5150432 5151171 +
Ety_005483 Ety_005483-T1 0.798 21 195 Ety_1756_4 5152485 5153243 +
Ety_005488 Ety_005488-T1 0.914 18 102 Ety_1756_4 5163190 5163656 -
Ety_005585 Ety_005585-T1 0.758 19 182 Ety_1756_5 279167 279836 -
Ety_005686 Ety_005686-T1 0.77 21 131 Ety_1756_5 650568 650963 -
Ety_005688 Ety_005688-T1 0.918 22 172 Ety_1756_5 653662 654180 +
Ety_005844 Ety_005844-T1 0.908 22 181 Ety_1756_5 1334533 1335078 +
Ety_005845 Ety_005845-T1 0.787 23 99 Ety_1756_5 1335739 1336038 -
Ety_005924 Ety_005924-T1 0.72 20 216 Ety_1756_5 1762226 1762952 -
Ety_006080 Ety_006080-T1 0.73 19 166 Ety_1756_5 2466949 2467449 -
Ety_006124 Ety_006124-T1 0.92 21 66 Ety_1756_5 2611203 2611581 +
Ety_006152 Ety_006152-T1 0.716 19 245 Ety_1756_5 2822778 2823515 +
Ety_006235 Ety_006235-T1 0.598 17 219 Ety_1756_5 3207171 3208055 +
Ety_006266 Ety_006266-T1 0.808 18 89 Ety_1756_5 3309335 3309676 -
Ety_006268 Ety_006268-T1 0.836 21 181 Ety_1756_5 3314925 3315470 +
Ety_006292 Ety_006292-T1 0.554 23 325 Ety_1756_5 3415135 3416201 +
Ety_006306 Ety_006306-T1 0.672 18 178 Ety_1756_5 3455166 3455964 -
Ety_006629 Ety_006629-T1 0.821 19 209 Ety_1756_6 93147 93776 -
