gene_id	geneT_id	chr.num	start	end	strand	seq.ln	pfam.sigAcc	pfam.desc	pfam.start	pfam.end	pfam.eval	pfam.iprAcc	pfam.iprAnn	pfam.go	pfam.pthAnn	pant.sigAcc	pant.desc	pant.start	pant.end	pant.eval	pant.iprAcc	pant.iprAnn	pant.go	pant.pthAnn	sfam.sigAcc	sfam.desc	sfam.start	sfam.end	sfam.eval	sfam.iprAcc	sfam.iprAnn	sfam.go	sfam.pthAnn	cdd.sigAcc	cdd.desc	cdd.start	cdd.end	cdd.eval	cdd.iprAcc	cdd.iprAnn	cdd.go	cdd.pthAnn	g3d.sigAcc	g3d.desc	g3d.start	g3d.end	g3d.eval	g3d.iprAcc	g3d.iprAnn	g3d.go	g3d.pthAnn
Ecl_000002	Ecl_000002-T1	Ecl_1605_22_1	153149	155422	-	687	PF01419	Jacalin-like lectin domain	542	667	1e-04	IPR001229	Jacalin-like lectin domain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF51101	Mannose-binding lectins	526	664	5.76e-09	IPR036404	Jacalin-like lectin domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.100.10.30	-	525	672	2.2e-08	IPR036404	Jacalin-like lectin domain superfamily	NA	NA
Ecl_000004	Ecl_000004-T1	Ecl_1605_22_1	163334	163885	-	183	PF00069	Protein kinase domain	2	167	7.2e-11	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	NA	PTHR45646	-	2	168	6.1e-16	NA	NA	NA	NA	SSF56112	Protein kinase-like (PK-like)	2	171	2.38e-17	IPR011009	Protein kinase-like domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	1	180	2.9e-27	NA	NA	NA	NA
Ecl_000006	Ecl_000006-T1	Ecl_1605_22_1	166348	166961	-	173	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR42104	-	17	172	5.8e-19	NA	NA	NA	NA	SSF53933	Microbial ribonucleases	69	173	7.78e-22	IPR016191	Ribonuclease/ribotoxin	GO:0003723|GO:0004540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.450.30	Microbial ribonucleases	67	173	1.6e-24	NA	NA	NA	NA
Ecl_000007	Ecl_000007-T1	Ecl_1605_22_1	204156	205127	+	323	PF12311	Protein of unknown function (DUF3632)	73	293	4.1e-24	IPR022085	Protein of unknown function DUF3632	NA	NA	PTHR38797	-	24	320	8.6e-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000009	Ecl_000009-T1	Ecl_1605_22_1	206994	211377	-	1173	PF12708	Pectate lyase superfamily protein	499	726	1.5e-67	IPR024535	Pectate lyase superfamily protein	NA	NA	PTHR31375	-	374	1171	1.1e-153	NA	NA	NA	NA	SSF51126	Pectin lyase-like	855	1151	1.46e-33	IPR011050	Pectin lyase fold/virulence factor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.160.20.10	-	477	820	4.2e-131	IPR012334	Pectin lyase fold	NA	NA
Ecl_000011	Ecl_000011-T1	Ecl_1605_22_1	213681	214178	+	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00118	LysM	117	152	0.00374364	IPR018392	LysM domain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000012	Ecl_000012-T1	Ecl_1605_22_1	214367	214810	+	147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.60.10	-	46	102	2.7e-06	IPR036861	Endochitinase-like superfamily	GO:0008061	NA
Ecl_000013	Ecl_000013-T1	Ecl_1605_22_1	214967	216469	+	500	PF06439	Domain of Unknown Function (DUF1080)	335	484	2.3e-07	IPR010496	Domain of unknown function DUF1080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.560	-	161	326	1.3e-31	NA	NA	NA	NA
Ecl_000014	Ecl_000014-T1	Ecl_1605_22_1	216886	217722	-	278	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38846	-	11	171	1.3e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000015	Ecl_000015-T1	Ecl_1605_22_1	218400	219604	-	364	PF00069	Protein kinase domain	107	359	1.9e-68	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	NA	PTHR24350	SERINE/THREONINE-PROTEIN KINASE IAL-RELATED	50	362	2.7e-147	IPR030616	Aurora kinase	GO:0004672	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	SSF56112	Protein kinase-like (PK-like)	97	361	5.66e-84	IPR011009	Protein kinase-like domain superfamily	NA	NA	cd14007	STKc_Aurora	106	360	8.45e-166	NA	NA	NA	NA	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	189	362	1.5e-58	NA	NA	NA	NA
