gene_id	geneT_id	chr.num	start	end	strand	seq.ln	pfam.sigAcc	pfam.desc	pfam.start	pfam.end	pfam.eval	pfam.iprAcc	pfam.iprAnn	pfam.go	pfam.pthAnn	pant.sigAcc	pant.desc	pant.start	pant.end	pant.eval	pant.iprAcc	pant.iprAnn	pant.go	pant.pthAnn	sfam.sigAcc	sfam.desc	sfam.start	sfam.end	sfam.eval	sfam.iprAcc	sfam.iprAnn	sfam.go	sfam.pthAnn	cdd.sigAcc	cdd.desc	cdd.start	cdd.end	cdd.eval	cdd.iprAcc	cdd.iprAnn	cdd.go	cdd.pthAnn	g3d.sigAcc	g3d.desc	g3d.start	g3d.end	g3d.eval	g3d.iprAcc	g3d.iprAnn	g3d.go	g3d.pthAnn
Ety_000002	Ety_000002-T1	Ety_1756_1	9525	10430	-	301	PF01636	Phosphotransferase enzyme family	45	234	3e-14	IPR002575	Aminoglycoside phosphotransferase	NA	NA	PTHR21310	-	46	242	3.5e-35	NA	NA	NA	NA	SSF56112	Protein kinase-like (PK-like)	45	244	2.73e-21	IPR011009	Protein kinase-like domain superfamily	NA	NA	cd05120	APH_ChoK_like	46	221	8.08e-22	NA	NA	NA	NA	G3DSA:3.90.1200.10	-	158	253	2.1e-07	NA	NA	NA	NA
Ety_000005	Ety_000005-T1	Ety_1756_1	17715	17987	-	90	PF01476	LysM domain	44	82	4.4e-06	IPR018392	LysM domain	NA	NA	PTHR34997	-	2	90	5e-31	NA	NA	NA	NA	SSF54106	LysM domain	40	89	2.75e-10	NA	NA	NA	NA	cd00118	LysM	42	86	1.22e-10	IPR018392	LysM domain	NA	NA	G3DSA:3.10.350.10	-	39	89	1e-17	IPR036779	LysM domain superfamily	NA	NA
Ety_000007	Ety_000007-T1	Ety_1756_1	18812	19177	-	121	PF01476	LysM domain	31	79	0.00016	IPR018392	LysM domain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00118	LysM	31	79	4.37e-07	IPR018392	LysM domain	NA	NA	G3DSA:3.10.350.10	-	27	80	5.5e-13	IPR036779	LysM domain superfamily	NA	NA
Ety_000010	Ety_000010-T1	Ety_1756_1	20884	26144	+	1725	PF00704	Glycosyl hydrolases family 18	188	534	3.4e-71	IPR001223	Glycoside hydrolase family 18, catalytic domain	GO:0005975	NA	PTHR11177	CHITINASE	81	551	1.9e-170	NA	NA	NA	NA	SSF51445	(Trans)glycosidases	187	542	9.58e-82	IPR017853	Glycoside hydrolase superfamily	NA	NA	cd00035	ChtBD1	130	172	5.04e-10	NA	NA	NA	NA	G3DSA:3.20.20.80	Glycosidases	191	535	3.2e-111	NA	NA	NA	NA
Ety_000011	Ety_000011-T1	Ety_1756_1	26621	26827	+	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR30618	NCS1 FAMILY PURINE/PYRIMIDINE TRANSPORTER	3	68	1.4e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000012	Ety_000012-T1	Ety_1756_1	27235	27744	+	169	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin	7	62	6.2e-13	IPR001248	Purine-cytosine permease	GO:0016020|GO:0022857|GO:0055085	NA	PTHR30618:SF15	-	7	133	5.9e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.4160.10	-	5	80	2.3e-16	IPR038271	Purine-cytosine permease superfamily	NA	NA
Ety_000013	Ety_000013-T1	Ety_1756_1	27832	30865	-	991	PF13515	Fusaric acid resistance protein-like	613	749	1.8e-25	NA	NA	NA	NA	PTHR47804:SF1	-	371	988	6.4e-294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000015	Ety_000015-T1	Ety_1756_1	31733	32542	+	269	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38850	-	27	224	4.1e-94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000016	Ety_000016-T1	Ety_1756_1	34388	36033	+	454	PF03372	Endonuclease/Exonuclease/phosphatase family	27	278	1.2e-06	IPR005135	Endonuclease/exonuclease/phosphatase	NA	NA	PTHR33354	-	288	428	9.7e-18	NA	NA	NA	NA	SSF56219	DNase I-like	20	285	1.96e-48	IPR036691	Endonuclease/exonuclease/phosphatase superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.60.10.10	-	15	284	4.3e-38	IPR036691	Endonuclease/exonuclease/phosphatase superfamily	NA	NA
Ety_000018	Ety_000018-T1	Ety_1756_1	39213	40753	-	487	PF00270	DEAD/DEAH box helicase	84	250	4.7e-46	IPR011545	DEAD/DEAH box helicase domain	GO:0003676|GO:0005524	NA	PTHR24031	RNA HELICASE	52	297	2.8e-112	NA	NA	NA	NA	SSF52540	P-loop containing nucleoside triphosphate hydrolases	130	415	1.13e-70	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	cd17954	DEADc_DDX47	61	263	4.09e-140	NA	NA	NA	NA	G3DSA:3.40.50.300	-	48	266	6.4e-84	NA	NA	NA	NA
