gene_id geneT_id effector.prob eff.start eff.end chr.num start end strand
Ecl_000006 Ecl_000006-T1 0.773 22 173 Ecl_1605_22_1 166348 166961 -
Ecl_000025 Ecl_000025-T1 0.793 20 172 Ecl_1605_22_1 445687 446321 +
Ecl_000030 Ecl_000030-T1 0.553 21 396 Ecl_1605_22_1 494944 496195 +
Ecl_000037 Ecl_000037-T1 0.63 19 231 Ecl_1605_22_1 504449 505144 -
Ecl_000162 Ecl_000162-T1 0.917 17 122 Ecl_1605_22_1 1344332 1344817 +
Ecl_000304 Ecl_000304-T1 0.697 19 77 Ecl_1605_22_1 2043755 2044059 -
Ecl_000529 Ecl_000529-T1 0.65 21 173 Ecl_1605_22_1 3081716 3082314 -
Ecl_000579 Ecl_000579-T1 0.588 22 369 Ecl_1605_22_1 3192835 3194256 +
Ecl_000590 Ecl_000590-T1 0.759 22 133 Ecl_1605_22_1 3208731 3209132 -
Ecl_000592 Ecl_000592-T1 0.62 19 125 Ecl_1605_22_1 3212008 3212385 +
Ecl_000638 Ecl_000638-T1 0.983 21 102 Ecl_1605_22_1 3501714 3502086 -
Ecl_000657 Ecl_000657-T1 0.706 23 264 Ecl_1605_22_1 3596855 3597649 +
Ecl_000668 Ecl_000668-T1 0.892 23 140 Ecl_1605_22_1 3621068 3621490 -
Ecl_001091 Ecl_001091-T1 0.634 17 180 Ecl_1605_22_1 6245827 6246478 -
Ecl_001188 Ecl_001188-T1 0.562 24 231 Ecl_1605_22_1 6558538 6559985 +
Ecl_001310 Ecl_001310-T1 0.739 19 193 Ecl_1605_22_1 7094135 7094757 -
Ecl_001311 Ecl_001311-T1 0.909 18 96 Ecl_1605_22_1 7097105 7097681 +
Ecl_001409 Ecl_001409-T1 0.573 20 327 Ecl_1605_22_1 7565696 7566679 +
Ecl_001417 Ecl_001417-T1 0.822 21 246 Ecl_1605_22_1 7579027 7579885 -
Ecl_001468 Ecl_001468-T1 0.892 22 163 Ecl_1605_22_2 406140 406702 -
Ecl_001486 Ecl_001486-T1 0.717 17 184 Ecl_1605_22_2 547992 548546 -
Ecl_001526 Ecl_001526-T1 0.808 22 191 Ecl_1605_22_2 793725 794418 -
Ecl_001559 Ecl_001559-T1 0.96 19 110 Ecl_1605_22_2 921043 921529 +
Ecl_001590 Ecl_001590-T1 0.826 17 81 Ecl_1605_22_2 1002946 1003273 +
Ecl_001733 Ecl_001733-T1 0.718 18 203 Ecl_1605_22_2 1501825 1502436 -
Ecl_001764 Ecl_001764-T1 0.579 17 372 Ecl_1605_22_2 1568186 1569374 -
